username,password,prn,firstName,lastName,email,mobile,gender,profilePictureUrl
250240120001,250240120001,250240120001,Student,User1,dac1001@campuscloud.in,9300000001,MALE,https://campus-cloud-bucket.s3.amazonaws.com/profile-pics/250240120001.jpg
250240120002,250240120002,250240120002,Student,User2,dac1002@campuscloud.in,9300000002,FEMALE,https://campus-cloud-bucket.s3.amazonaws.com/profile-pics/250240120002.jpg
250240120003,250240120003,250240120003,Student,User3,dac1003@campuscloud.in,9300000003,MALE,https://campus-cloud-bucket.s3.amazonaws.com/profile-pics/250240120003.jpg
250240120004,250240120004,250240120004,Student,User4,dac1004@campuscloud.in,9300000004,FEMALE,https://campus-cloud-bucket.s3.amazonaws.com/profile-pics/250240120004.jpg
250240120005,250240120005,250240120005,Student,User5,dac1005@campuscloud.in,9300000005,MALE,https://campus-cloud-bucket.s3.amazonaws.com/profile-pics/250240120005.jpg
250240120006,250240120006,250240120006,Student,User6,dac1006@campuscloud.in,9300000006,FEMALE,https://campus-cloud-bucket.s3.amazonaws.com/profile-pics/250240120006.jpg
250240120007,250240120007,250240120007,Student,User7,dac1007@campuscloud.in,9300000007,MALE,https://campus-cloud-bucket.s3.amazonaws.com/profile-pics/250240120007.jpg
250240120008,250240120008,250240120008,Student,User8,dac1008@campuscloud.in,9300000008,FEMALE,https://campus-cloud-bucket.s3.amazonaws.com/profile-pics/250240120008.jpg
250240120009,250240120009,250240120009,Student,User9,dac1009@campuscloud.in,9300000009,MALE,https://campus-cloud-bucket.s3.amazonaws.com/profile-pics/250240120009.jpg
250240120010,250240120010,250240120010,Student,User10,dac1010@campuscloud.in,9300000010,FEMALE,https://campus-cloud-bucket.s3.amazonaws.com/profile-pics/250240120010.jpg
250240120011,250240120011,250240120011,Student,User11,dac1011@campuscloud.in,9300000011,MALE,https://campus-cloud-bucket.s3.amazonaws.com/profile-pics/250240120011.jpg
250240120012,250240120012,250240120012,Student,User12,dac1012@campuscloud.in,9300000012,FEMALE,https://campus-cloud-bucket.s3.amazonaws.com/profile-pics/250240120012.jpg
250240120013,250240120013,250240120013,Student,User13,dac1013@campuscloud.in,9300000013,MALE,https://campus-cloud-bucket.s3.amazonaws.com/profile-pics/250240120013.jpg
250240120014,250240120014,250240120014,Student,User14,dac1014@campuscloud.in,9300000014,FEMALE,https://campus-cloud-bucket.s3.amazonaws.com/profile-pics/250240120014.jpg
250240120015,250240120015,250240120015,Student,User15,dac1015@campuscloud.in,9300000015,MALE,https://campus-cloud-bucket.s3.amazonaws.com/profile-pics/250240120015.jpg
250240120016,250240120016,250240120016,Student,User16,dac1016@campuscloud.in,9300000016,FEMALE,https://campus-cloud-bucket.s3.amazonaws.com/profile-pics/250240120016.jpg
250240120017,250240120017,250240120017,Student,User17,dac1017@campuscloud.in,9300000017,MALE,https://campus-cloud-bucket.s3.amazonaws.com/profile-pics/250240120017.jpg
250240120018,250240120018,250240120018,Student,User18,dac1018@campuscloud.in,9300000018,FEMALE,https://campus-cloud-bucket.s3.amazonaws.com/profile-pics/250240120018.jpg
250240120019,250240120019,250240120019,Student,User19,dac1019@campuscloud.in,9300000019,MALE,https://campus-cloud-bucket.s3.amazonaws.com/profile-pics/250240120019.jpg
250240120020,250240120020,250240120020,Student,User20,dac1020@campuscloud.in,9300000020,FEMALE,https://campus-cloud-bucket.s3.amazonaws.com/profile-pics/250240120020.jpg
250240120021,250240120021,250240120021,Student,User21,dac1021@campuscloud.in,9300000021,MALE,https://campus-cloud-bucket.s3.amazonaws.com/profile-pics/250240120021.jpg
250240120022,250240120022,250240120022,Student,User22,dac1022@campuscloud.in,9300000022,FEMALE,https://campus-cloud-bucket.s3.amazonaws.com/profile-pics/250240120022.jpg
250240120023,250240120023,250240120023,Student,User23,dac1023@campuscloud.in,9300000023,MALE,https://campus-cloud-bucket.s3.amazonaws.com/profile-pics/250240120023.jpg
250240120024,250240120024,250240120024,Student,User24,dac1024@campuscloud.in,9300000024,FEMALE,https://campus-cloud-bucket.s3.amazonaws.com/profile-pics/250240120024.jpg
250240120025,250240120025,250240120025,Student,User25,dac1025@campuscloud.in,9300000025,MALE,https://campus-cloud-bucket.s3.amazonaws.com/profile-pics/250240120025.jpg
250240120026,250240120026,250240120026,Student,User26,dac1026@campuscloud.in,9300000026,FEMALE,https://campus-cloud-bucket.s3.amazonaws.com/profile-pics/250240120026.jpg
250240120027,250240120027,250240120027,Student,User27,dac1027@campuscloud.in,9300000027,MALE,https://campus-cloud-bucket.s3.amazonaws.com/profile-pics/250240120027.jpg
250240120028,250240120028,250240120028,Student,User28,dac1028@campuscloud.in,9300000028,FEMALE,https://campus-cloud-bucket.s3.amazonaws.com/profile-pics/250240120028.jpg
250240120029,250240120029,250240120029,Student,User29,dac1029@campuscloud.in,9300000029,MALE,https://campus-cloud-bucket.s3.amazonaws.com/profile-pics/250240120029.jpg
250240120030,250240120030,250240120030,Student,User30,dac1030@campuscloud.in,9300000030,FEMALE,https://campus-cloud-bucket.s3.amazonaws.com/profile-pics/250240120030.jpg
